k,rep,model,cond,n,pit_ks,CRPS,cov50,cov95,mean_true,mean_pred,k_hat,E_lambda_true,E_lambda_pnbd,E_lambda_ggg
1.5,12,PNBD,all,800,0.028691090259378216,0.5771185650887574,0.8725,0.985,2.3125,2.12125,1.5065679741192362,0.21632163230952645,0.21263757335510552,0.23303689098328806
1.5,12,PNBD,xcal_pos,456,0.03613679026628752,0.9661306511470986,0.8157894736842105,0.9846491228070176,4.008771929824562,3.7214912280701755,1.5065679741192362,0.21632163230952645,0.21263757335510552,0.23303689098328806
1.5,12,GGG,all,800,0.029881573778206993,0.6187527181952663,0.84375,0.97875,2.3125,2.09,1.5065679741192362,0.21632163230952645,0.21263757335510552,0.23303689098328806
1.5,12,GGG,xcal_pos,456,0.047870349493262965,1.0389859726980173,0.7653508771929824,0.9780701754385965,4.008771929824562,3.6666666666666665,1.5065679741192362,0.21632163230952645,0.21263757335510552,0.23303689098328806
1.5,13,PNBD,all,800,0.027114208300824227,0.4051904215976332,0.8925,0.98875,0.9125,0.6775,1.6012911477528868,0.12369114826429171,0.10844009151485898,0.13161309682656142
1.5,13,PNBD,xcal_pos,492,0.05330405600431831,0.6155678729494395,0.8536585365853658,0.9939024390243902,1.4390243902439024,1.1016260162601625,1.6012911477528868,0.12369114826429171,0.10844009151485898,0.13161309682656142
1.5,13,GGG,all,800,0.02061081967734313,0.39794596893491124,0.88,0.98375,0.9125,0.783125,1.6012911477528868,0.12369114826429171,0.10844009151485898,0.13161309682656142
1.5,13,GGG,xcal_pos,492,0.04237610871247732,0.6034764516284217,0.8333333333333334,0.9898373983739838,1.4390243902439024,1.2733739837398375,1.6012911477528868,0.12369114826429171,0.10844009151485898,0.13161309682656142
1.5,14,PNBD,all,800,0.03655298767544668,0.45324850221893487,0.89375,0.99375,1.5025,1.365,1.482780519964855,0.15476764037135332,0.1200160450420283,0.14125797454819922
1.5,14,PNBD,xcal_pos,374,0.04832654975653272,0.934817224630573,0.8021390374331551,0.9919786096256684,3.179144385026738,2.9197860962566846,1.482780519964855,0.15476764037135332,0.1200160450420283,0.14125797454819922
1.5,14,GGG,all,800,0.026774377900731783,0.44644974112426034,0.88625,0.985,1.5025,1.41875,1.482780519964855,0.15476764037135332,0.1200160450420283,0.14125797454819922
1.5,14,GGG,xcal_pos,374,0.03754531540941686,0.9203385358984906,0.786096256684492,0.9812834224598931,3.179144385026738,3.03475935828877,1.482780519964855,0.15476764037135332,0.1200160450420283,0.14125797454819922
2.0,0,PNBD,all,800,0.034632865976972016,0.5282555288461538,0.8725,0.99,1.82125,1.686875,1.900868747399252,0.16502726377152727,0.13121829006862293,0.1467543275737771
2.0,0,PNBD,xcal_pos,430,0.051451391213479636,0.9330043690656392,0.8069767441860465,0.9930232558139535,3.3372093023255816,3.1383720930232557,1.900868747399252,0.16502726377152727,0.13121829006862293,0.1467543275737771
2.0,0,GGG,all,800,0.048992606563556695,0.5183574334319527,0.8625,0.9875,1.82125,1.639375,1.900868747399252,0.16502726377152727,0.13121829006862293,0.1467543275737771
