dataset,seed,method,cond,metric,value
Ta-Feng,9,BTYD+GG,all,nMAE,1.059437543268326
Ta-Feng,9,BTYD+GG,x>0,CRPS,119552.39344737379
Ta-Feng,9,BTYD+GG,x>0,pit_ks,0.08117552098620495
Ta-Feng,9,BTYD+GG,x>0,cov95,0.9257411212210156
Ta-Feng,9,BTYD+GG,x>0,nMAE,1.0611634464766666
Ta-Feng,9,ZILN,all,CRPS,60566.69184465505
Ta-Feng,9,ZILN,all,pit_ks,0.01472409744643377
Ta-Feng,9,ZILN,all,cov95,0.9785735250953919
Ta-Feng,9,ZILN,all,nMAE,1.0261914603201538
Ta-Feng,9,ZILN,x>0,CRPS,117858.17829792664
Ta-Feng,9,ZILN,x>0,pit_ks,0.029964044614029905
Ta-Feng,9,ZILN,x>0,cov95,0.9773994716759613
Ta-Feng,9,ZILN,x>0,nMAE,1.0269607424856688
Ta-Feng,10,BTYD+GG,all,CRPS,6060.2909807123315
Ta-Feng,10,BTYD+GG,all,pit_ks,0.08958174346932779
Ta-Feng,10,BTYD+GG,all,cov95,0.9439389492221896
Ta-Feng,10,BTYD+GG,all,nMAE,1.3059790399558637
Ta-Feng,10,BTYD+GG,x>0,CRPS,8959.613642375922
Ta-Feng,10,BTYD+GG,x>0,pit_ks,0.09516602431070253
Ta-Feng,10,BTYD+GG,x>0,cov95,0.931218499851764
Ta-Feng,10,BTYD+GG,x>0,nMAE,1.4329540065334065
Ta-Feng,10,ZILN,all,CRPS,5523.484371035535
Ta-Feng,10,ZILN,all,pit_ks,0.021528470795421195
Ta-Feng,10,ZILN,all,cov95,0.9787202817728207
Ta-Feng,10,ZILN,all,nMAE,1.21389563061455
Ta-Feng,10,ZILN,x>0,CRPS,7916.789289196504
